*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
354;;;20.2692;-56.9216;0;Bottom;Copper Fill253
355;;;4.2037;-31.1914;0;Bottom;Copper Fill77
356;;;14.8483;-40.3827;0;Bottom;Via42
357;220;0805 [SMD];18.1483;-68.5575;-90;Bottom;75k
358;;;22.9108;-43.8152;0;Bottom;Copper Fill269
359;;;30.2483;-56.8826;0;Bottom;Via97
360;;;59.7154;-89.5987;0;Bottom;Copper Fill109
361;;;6.3246;-13.0939;0;Bottom;Copper Fill15
362;;;19.685;-2.21;0;Bottom;Copper Fill306
363;;;39.878;-49.581;0;Bottom;Copper Fill260
364;;;4.5466;-12.9923;0;Bottom;Copper Fill185
365;;;25.3873;-60.503;0;Bottom;Copper Fill96
366;;PG203J [THT];5.4357;-18.3408;0;Bottom;TR1
367;;;26.9982;-59.7525;0;Bottom;Via49
368;;;3.7084;-66.4339;0;Bottom;Copper Fill197
369;;;59.5122;-30.1627;0;Bottom;Copper Fill128
370;;;45.6946;-88.8494;0;Bottom;Copper Fill212
371;;;12.1412;-66.2307;0;Bottom;Copper Fill123
372;;;49.0482;-35.4825;0;Bottom;Via166
373;;;22.8783;-53.9827;0;Bottom;Via36
374;;;48.6537;-71.6536;0;Bottom;Copper Fill181
375;;;26.6483;-90.7826;0;Bottom;Via16
376;;sot23-3;60.2984;-31.9327;90;Bottom;lm4040-5
377;;;22.8981;-61.1888;0;Bottom;Copper Fill91
378;;;48.2092;-58.9028;0;Bottom;Copper Fill261
379;;;59.7154;-70.8027;0;Bottom;Copper Fill113
380;;;41.783;-71.4123;0;Bottom;Copper Fill106
381;;;39.0683;-85.2326;0;Bottom;Via56
382;;;8.8392;-80.9246;0;Bottom;Copper Fill220
383;;;11.9634;-75.997;0;Bottom;Copper Fill224
384;;;4.4196;-15.6847;0;Bottom;Copper Fill17
385;220;0805 [SMD];2.14824;-21.0575;-90;Bottom;100k
386;100nF;0805 [SMD, multilayer];60.6236;-39.5075;45;Bottom;1uF
387;;;55.0418;-84.0234;0;Bottom;Copper Fill4
388;;;42.4434;-64.4527;0;Bottom;Copper Fill103
389;;;34.8482;-46.8826;0;Bottom;Via143
390;;;47.9806;-13.0939;0;Bottom;Copper Fill31
391;;;48.8919;-18.9262;0;Bottom;Hole4
392;;[THT];53.8509;-74.5777;0;Bottom;S6
